what,kind,bundleId,bundleVersion,description,time
error,log,,,"DDMS files not found: C:\\eclipse\\platform-tools\\adb.exe C:\\eclipse\\tools\\hprof-conv.exe C:\\eclipse\\tools\\traceview.bat ",1347545185961
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1347545185976
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1347545189336
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1347545189336
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1347545189492
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1347545191977
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1347545193305
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1347545193383
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1347545194195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347545806375
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1347545815249
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1347545817999
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1347545818030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347545821483
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1347546050107
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1347546050326
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1347546050466
started,bundle,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.php.debug.ui",1347546055544
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1347546055622
started,bundle,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui",1347546055669
started,bundle,org.eclipse.php.core,3.0.0.v20110516-1100,"org.eclipse.php.core",1347546057091
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1347546057372
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1347546061684
started,bundle,org.eclipse.php.debug.daemon,3.0.0.v20110516-1100,"org.eclipse.php.debug.daemon",1347546198443
started,bundle,org.eclipse.php.server.core,3.0.0.v20110516-1100,"org.eclipse.php.server.core",1347546199021
started,bundle,org.eclipse.php.debug.core,3.0.0.v20110516-1100,"org.eclipse.php.debug.core",1347546199287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546212646
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1347546213583
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1347546213896
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1347546215755
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1347546217677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546218896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546244083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1347546244161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546244442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546244583
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347546258067
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1347546258863
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1347546259082
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347546259145
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1347546259332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347546269957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546275019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546291378
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1347546292909
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1347546294066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546294097
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1347546295847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546296066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546299378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546299378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546299472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546305097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546310675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546346502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546348736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546372095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1347546372111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546373392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546373392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546374501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546374564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546510857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347546522044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546524310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546531857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1347546531872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546533029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546533029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546533372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546624121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546625386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546625386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546625464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546680324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546682090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546682105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546682434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546683590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546696481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546696481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546696871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347546714621
