what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1351814863586
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1351814863601
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1351814863601
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1351814863601
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1351814863664
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1351814863664
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1351814863679
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1351814863961
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1351814863961
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1351814863976
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1351814864023
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1351814864070
os,sysinfo,,,"win32",1351814864070
arch,sysinfo,,,"x86",1351814864070
ws,sysinfo,,,"win32",1351814864070
locale,sysinfo,,,"en_US",1351814864070
processors,sysinfo,,,"4",1351814864070
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351814864070
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1351814864070
java.specification.name,sysinfo,,,"Java Platform API Specification",1351814864070
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351814864070
java.specification.version,sysinfo,,,"1.7",1351814864070
java.vendor,sysinfo,,,"Oracle Corporation",1351814864070
java.version,sysinfo,,,"1.7.0_09",1351814864070
java.vm.info,sysinfo,,,"mixed mode",1351814864070
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1351814864070
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351814864070
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351814864070
java.vm.specification.version,sysinfo,,,"1.7",1351814864070
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351814864070
java.vm.version,sysinfo,,,"23.5-b02",1351814864070
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1351814864164
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1351814864492
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1351814864836
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1351814865367
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1351814865476
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1351814865711
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1351814865851
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1351814866070
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1351814866085
started,bundle,com.google.gdt.eclipse.designer.GXT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GXT",1351814866148
